"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Contractes","Nombre"
2023,1,1,"Ciutat Vella",1,"el Raval","Contractes de lloguer","345"
2023,1,1,"Ciutat Vella",2,"el Barri Gòtic","Contractes de lloguer","173"
2023,1,1,"Ciutat Vella",3,"la Barceloneta","Contractes de lloguer","69"
2023,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Contractes de lloguer","270"
2023,1,2,"Eixample",5,"el Fort Pienc","Contractes de lloguer","193"
2023,1,2,"Eixample",6,"la Sagrada Família","Contractes de lloguer","359"
2023,1,2,"Eixample",7,"la Dreta de l'Eixample","Contractes de lloguer","370"
2023,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Contractes de lloguer","392"
2023,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Contractes de lloguer","410"
2023,1,2,"Eixample",10,"Sant Antoni","Contractes de lloguer","268"
2023,1,3,"Sants-Montjuïc",11,"el Poble Sec","Contractes de lloguer","248"
2023,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Contractes de lloguer","56"
2023,1,3,"Sants-Montjuïc",13,"la Marina de Port","Contractes de lloguer","92"
2023,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Contractes de lloguer","79"
2023,1,3,"Sants-Montjuïc",15,"Hostafrancs","Contractes de lloguer","123"
2023,1,3,"Sants-Montjuïc",16,"la Bordeta","Contractes de lloguer","175"
2023,1,3,"Sants-Montjuïc",17,"Sants - Badal","Contractes de lloguer","142"
2023,1,3,"Sants-Montjuïc",18,"Sants","Contractes de lloguer","295"
2023,1,4,"Les Corts",19,"les Corts","Contractes de lloguer","291"
2023,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Contractes de lloguer","101"
2023,1,4,"Les Corts",21,"Pedralbes","Contractes de lloguer","48"
2023,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Contractes de lloguer","14"
2023,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Contractes de lloguer","164"
2023,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Contractes de lloguer","63"
2023,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Contractes de lloguer","179"
2023,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Contractes de lloguer","384"
2023,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Contractes de lloguer","237"
2023,1,6,"Gràcia",28,"Vallcarca i els Penitents","Contractes de lloguer","124"
2023,1,6,"Gràcia",29,"el Coll","Contractes de lloguer","43"
2023,1,6,"Gràcia",30,"la Salut","Contractes de lloguer","90"
2023,1,6,"Gràcia",31,"la Vila de Gràcia","Contractes de lloguer","512"
2023,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Contractes de lloguer","236"
2023,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Contractes de lloguer","145"
2023,1,7,"Horta-Guinardó",34,"Can Baró","Contractes de lloguer","54"
2023,1,7,"Horta-Guinardó",35,"el Guinardó","Contractes de lloguer","241"
2023,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Contractes de lloguer","27"
