year,quarter,district_code,district_name,neighborhood_code,neighborhood_name,euros_month,euros_m2_month,num_agreements
2014,1,1,Ciutat Vella,1,el Raval,589.55,10.76,356
2014,1,1,Ciutat Vella,2,el Barri Gòtic,712.79,10.58,135
2014,1,1,Ciutat Vella,3,la Barceloneta,540.71,14.4,130
2014,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",673.44,11.01,196
2014,1,2,Eixample,5,el Fort Pienc,736.09,10.42,203
2014,1,2,Eixample,6,la Sagrada Família,673.37,10.55,298
2014,1,2,Eixample,7,la Dreta de l'Eixample,921.4,9.84,312
2014,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,827.87,10.35,352
2014,1,2,Eixample,9,la Nova Esquerra de l'Eixample,716.13,10.32,428
2014,1,2,Eixample,10,Sant Antoni,693.43,9.77,286
2014,1,3,Sants-Montjuïc,11,el Poble Sec,568.0,10.18,270
2014,1,3,Sants-Montjuïc,13,la Marina de Port,553.55,8.34,83
2014,1,3,Sants-Montjuïc,14,la Font de la Guatlla,631.5,10.83,56
2014,1,3,Sants-Montjuïc,15,Hostafrancs,580.71,10.4,117
2014,1,3,Sants-Montjuïc,16,la Bordeta,604.74,9.46,89
2014,1,3,Sants-Montjuïc,17,Sants - Badal,584.27,9.94,149
2014,1,3,Sants-Montjuïc,18,Sants,605.28,9.89,316
2014,1,4,Les Corts,19,les Corts,777.23,11.39,222
2014,1,4,Les Corts,20,la Maternitat i Sant Ramon,700.16,10.02,100
2014,1,4,Les Corts,21,Pedralbes,1230.0,11.19,50
2014,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",837.33,7.9,9
2014,1,5,Sarrià-Sant Gervasi,23,Sarrià,1042.16,12.62,109
2014,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,1215.85,13.27,71
2014,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,927.63,11.46,120
2014,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1053.7,12.08,293
2014,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,750.84,11.06,214
2014,1,6,Gràcia,28,Vallcarca i els Penitents,679.66,10.18,75
2014,1,6,Gràcia,29,el Coll,583.93,9.77,43
2014,1,6,Gràcia,30,la Salut,634.48,10.2,77
2014,1,6,Gràcia,31,la Vila de Gràcia,679.8,11.59,512
2014,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,671.0,10.29,199
2014,1,7,Horta-Guinardó,33,el Baix Guinardó,622.63,9.63,141
2014,1,7,Horta-Guinardó,34,Can Baró,568.94,9.97,47
2014,1,7,Horta-Guinardó,35,el Guinardó,586.5,9.35,201
2014,1,7,Horta-Guinardó,36,la Font d'en Fargues,585.45,9.26,21
2014,1,7,Horta-Guinardó,37,el Carmel,478.7,8.41,150
2014,1,7,Horta-Guinardó,38,la Teixonera,492.79,8.52,54
2014,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,557.0,7.72,32
2014,1,7,Horta-Guinardó,40,Montbau,537.94,9.48,11
2014,1,7,Horta-Guinardó,41,la Vall d'Hebron,737.73,10.59,11
2014,1,7,Horta-Guinardó,43,Horta,556.3,8.85,109
2014,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,555.89,8.85,125
2014,1,8,Nou Barris,45,Porta,523.29,8.58,120
2014,1,8,Nou Barris,46,el Turó de la Peira,475.06,7.59,69
2014,1,8,Nou Barris,47,Can Peguera,241.99,6.03,15
2014,1,8,Nou Barris,48,la Guineueta,613.58,8.11,53
2014,1,8,Nou Barris,49,Canyelles,563.33,7.35,6
2014,1,8,Nou Barris,50,les Roquetes,461.28,8.53,61
2014,1,8,Nou Barris,51,Verdun,503.47,9.03,47
2014,1,8,Nou Barris,52,la Prosperitat,521.81,9.03,114
2014,1,8,Nou Barris,53,la Trinitat Nova,442.94,8.96,34
2014,1,8,Nou Barris,54,Torre Baró,401.71285714285716,7.377692307692308,2
2014,1,8,Nou Barris,55,Ciutat Meridiana,359.27,6.23,40
2014,1,8,Nou Barris,56,Vallbona,390.17333333333335,5.816666666666666,1
2014,1,9,Sant Andreu,57,la Trinitat Vella,461.1,8.28,41
2014,1,9,Sant Andreu,59,el Bon Pastor,488.14,8.09,38
2014,1,9,Sant Andreu,60,Sant Andreu,581.16,9.39,267
2014,1,9,Sant Andreu,61,la Sagrera,626.26,9.28,154
2014,1,9,Sant Andreu,62,el Congrés i els Indians,563.42,9.21,71
2014,1,9,Sant Andreu,63,Navas,613.47,9.2,101
2014,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,580.09,9.96,245
2014,1,10,Sant Martí,65,el Clot,604.85,9.82,135
2014,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,704.67,11.04,72
2014,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,926.43,12.37,36
2014,1,10,Sant Martí,68,el Poblenou,663.93,11.38,177
